location_id,location_name,location_group,location_type,sensor_id,place_open,local_date_time,utc_date_time,number_of_aggregated_records,pm25_ug_m3_raw,pm25_ug_m3_corrected,particle_count_03um,co2_ppm_raw,co2_ppm_corrected,temperature_c_raw,temperature_c_corrected,heat_index_c,humidity_percent_raw,humidity_percent_corrected,tvoc_ppb,tvoc_index,nox_index,pm1_ug_m3,pm10_ug_m3
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:40:00,2026-01-30T08:40:00.000Z,5,30.4,16.9,1313.0,425.0,425.0,26.2,25.9,26.8,62.0,85.0,90.0,94.0,1.0,21.9,34.5
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:35:00,2026-01-30T08:35:00.000Z,5,32.3,18.4,1447.0,427.0,427.0,26.2,25.8,26.7,62.0,86.0,107.0,108.0,1.0,23.0,38.8
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:30:00,2026-01-30T08:30:00.000Z,5,34.6,20.5,1505.0,427.0,427.0,26.2,25.8,26.7,62.0,86.0,29.0,26.0,1.0,24.0,40.3
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:25:00,2026-01-30T08:25:00.000Z,5,31.4,17.6,1401.0,423.0,423.0,26.2,25.8,26.7,63.0,86.0,30.0,26.0,1.0,22.7,37.7
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:20:00,2026-01-30T08:20:00.000Z,5,27.6,14.8,1123.0,419.0,419.0,26.2,25.8,26.7,62.0,86.0,75.0,77.0,1.0,19.3,29.3
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:15:00,2026-01-30T08:15:00.000Z,5,24.0,12.9,1006.0,417.0,417.0,26.2,25.8,26.7,62.0,86.0,75.0,80.0,1.0,16.1,27.6
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:10:00,2026-01-30T08:10:00.000Z,5,17.8,9.7,805.0,414.0,414.0,26.2,25.8,26.7,62.0,85.0,139.0,141.0,1.0,9.9,19.4
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:05:00,2026-01-30T08:05:00.000Z,5,10.3,5.9,575.0,416.0,416.0,26.3,25.9,26.7,61.0,84.0,98.0,103.0,1.0,5.2,14.0
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 16:00:00,2026-01-30T08:00:00.000Z,5,20.5,11.3,848.0,420.0,420.0,26.5,26.1,27.0,61.0,84.0,93.0,98.0,1.0,13.6,23.3
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:55:00,2026-01-30T07:55:00.000Z,5,47.8,35.7,2349.0,428.0,428.0,26.6,26.3,28.2,61.0,84.0,118.0,119.0,1.0,33.4,58.4
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:50:00,2026-01-30T07:50:00.000Z,5,54.2,43.0,2951.0,434.0,434.0,26.5,26.2,27.7,62.0,85.0,99.0,105.0,1.0,37.8,67.4
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:45:00,2026-01-30T07:45:00.000Z,5,52.2,41.4,2844.0,440.0,440.0,26.3,26.0,26.9,63.0,86.0,104.0,110.0,1.0,36.2,65.1
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:40:00,2026-01-30T07:40:00.000Z,5,55.8,44.1,3044.0,444.0,444.0,26.1,25.7,26.6,65.0,89.0,89.0,95.0,1.0,38.6,68.0
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:35:00,2026-01-30T07:35:00.000Z,5,57.7,45.4,3205.0,447.0,447.0,25.7,25.2,26.1,66.0,90.0,107.0,114.0,1.0,40.1,69.2
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:30:00,2026-01-30T07:30:00.000Z,5,51.4,39.7,2784.0,442.0,442.0,25.0,24.4,25.1,68.0,93.0,97.0,103.0,1.0,34.7,64.3
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:25:00,2026-01-30T07:25:00.000Z,5,42.5,29.2,2151.0,442.0,442.0,23.9,23.1,23.2,70.0,96.0,121.0,125.0,1.0,28.6,53.1
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:20:00,2026-01-30T07:20:00.000Z,4,34.6,19.4,1470.0,454.0,454.0,22.6,21.5,21.6,76.0,100.0,68.0,71.0,1.0,23.4,42.2
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 15:15:00,2026-01-30T07:15:00.000Z,1,,,,,,,,,,,,,,,
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 14:00:00,2026-01-30T06:00:00.000Z,5,22.5,10.9,881.0,445.0,445.0,23.0,22.1,22.1,77.0,100.0,87.0,92.0,1.0,11.5,25.2
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-30 13:55:00,2026-01-30T05:55:00.000Z,3,22.8,10.8,793.0,471.0,471.0,22.0,20.9,20.9,81.0,100.0,28.0,25.0,1.0,10.4,24.9
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-29 16:10:00,2026-01-29T08:10:00.000Z,5,0.8,1.6,233.0,401.0,401.0,28.5,28.6,30.9,45.0,64.0,215.0,193.0,1.0,0.3,2.0
182446,Ramon Avancena High School,,Outdoor,airgradient:34b7dad31274,True,2026-01-29 16:05:00,2026-01-29T08:05:00.000Z,5,4.9,4.4,390.0,395.0,395.0,28.6,28.7,31.1,45.0,64.0,104.0,110.0,1.0,2.3,6.1
