location_id,location_name,location_group,location_type,sensor_id,place_open,local_date_time,utc_date_time,number_of_aggregated_records,pm25_ug_m3_raw,pm25_ug_m3_corrected,particle_count_03um,co2_ppm_raw,co2_ppm_corrected,temperature_c_raw,temperature_c_corrected,heat_index_c,humidity_percent_raw,humidity_percent_corrected,tvoc_ppb,tvoc_index,nox_index,pm1_ug_m3,pm10_ug_m3
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 09:20:00,2026-02-02T01:20:00.000Z,5,18.1,18.1,763.0,420.0,420.0,33.2,34.1,39.8,37.0,54.0,59.0,62.0,1.0,9.3,18.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 09:15:00,2026-02-02T01:15:00.000Z,5,19.2,19.2,786.0,423.0,423.0,32.9,33.8,39.4,37.0,54.0,70.0,74.0,1.0,11.3,19.9
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 09:10:00,2026-02-02T01:10:00.000Z,5,22.9,22.9,931.0,426.0,426.0,32.7,33.5,39.1,38.0,55.0,94.0,99.0,1.0,16.8,24.0
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 09:05:00,2026-02-02T01:05:00.000Z,5,31.5,31.5,1312.0,437.0,437.0,32.6,33.4,38.7,38.0,55.0,105.0,111.0,1.0,22.4,34.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 09:00:00,2026-02-02T01:00:00.000Z,5,27.4,27.4,1089.0,425.0,425.0,32.4,33.2,38.6,39.0,56.0,89.0,94.0,1.0,20.8,28.3
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:55:00,2026-02-02T00:55:00.000Z,5,30.5,30.5,1238.0,425.0,425.0,32.3,33.0,38.4,39.0,57.0,92.0,98.0,1.0,21.9,32.2
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:50:00,2026-02-02T00:50:00.000Z,5,31.0,31.0,1223.0,433.0,433.0,32.2,32.9,38.3,40.0,57.0,97.0,103.0,1.0,22.5,33.3
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:45:00,2026-02-02T00:45:00.000Z,5,33.1,33.1,1298.0,426.0,426.0,32.1,32.8,38.1,40.0,57.0,94.0,100.0,1.0,23.7,36.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:40:00,2026-02-02T00:40:00.000Z,5,32.9,32.9,1340.0,429.0,429.0,32.1,32.8,38.2,40.0,58.0,134.0,139.0,1.0,23.1,36.5
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:35:00,2026-02-02T00:35:00.000Z,5,32.0,32.0,1273.0,425.0,425.0,31.9,32.5,37.9,41.0,59.0,102.0,108.0,1.0,22.9,35.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:30:00,2026-02-02T00:30:00.000Z,5,27.8,27.8,1147.0,437.0,437.0,31.7,32.3,37.6,41.0,59.0,85.0,91.0,1.0,19.5,30.0
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:25:00,2026-02-02T00:25:00.000Z,5,26.2,26.2,1014.0,431.0,431.0,31.5,32.1,37.6,42.0,61.0,115.0,121.0,1.0,18.9,26.8
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:20:00,2026-02-02T00:20:00.000Z,5,29.4,29.4,1105.0,430.0,430.0,31.3,31.9,37.3,43.0,62.0,131.0,137.0,1.0,21.3,31.0
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:15:00,2026-02-02T00:15:00.000Z,5,32.9,32.9,1271.0,436.0,436.0,31.2,31.7,36.8,43.0,62.0,161.0,164.0,1.0,22.7,36.2
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:10:00,2026-02-02T00:10:00.000Z,5,37.4,37.4,1648.0,432.0,432.0,30.9,31.4,36.4,44.0,63.0,160.0,163.0,1.0,26.5,43.2
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:05:00,2026-02-02T00:05:00.000Z,5,40.3,40.3,1806.0,433.0,433.0,30.6,31.0,35.7,45.0,63.0,173.0,175.0,1.0,27.9,47.4
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,True,2026-02-02 08:00:00,2026-02-02T00:00:00.000Z,5,44.4,44.4,2130.0,447.0,447.0,30.0,30.3,34.6,46.0,65.0,200.0,197.0,1.0,30.2,53.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:55:00,2026-02-01T23:55:00.000Z,5,31.5,31.5,1331.0,445.0,445.0,29.5,29.7,33.6,47.0,66.0,148.0,151.0,1.0,22.1,34.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:50:00,2026-02-01T23:50:00.000Z,5,29.8,29.8,1146.0,430.0,430.0,29.2,29.4,33.0,47.0,67.0,119.0,125.0,1.0,22.0,31.4
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:45:00,2026-02-01T23:45:00.000Z,5,35.9,35.9,1498.0,429.0,429.0,28.9,29.0,32.4,48.0,68.0,133.0,139.0,1.0,24.6,41.2
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:40:00,2026-02-01T23:40:00.000Z,5,34.8,34.8,1453.0,436.0,436.0,28.7,28.8,32.0,49.0,68.0,167.0,169.0,2.0,24.4,39.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:35:00,2026-02-01T23:35:00.000Z,5,42.9,42.9,2065.0,448.0,448.0,28.4,28.4,31.5,49.0,70.0,271.0,248.0,2.0,30.0,51.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:30:00,2026-02-01T23:30:00.000Z,5,46.1,46.1,2316.0,449.0,449.0,28.2,28.1,31.0,50.0,70.0,263.0,243.0,2.0,31.9,55.8
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:25:00,2026-02-01T23:25:00.000Z,5,47.4,47.4,2397.0,458.0,458.0,27.9,27.8,30.4,50.0,70.0,338.0,287.0,2.0,32.9,57.3
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:20:00,2026-02-01T23:20:00.000Z,5,49.1,49.1,2684.0,459.0,459.0,27.6,27.5,29.7,50.0,70.0,404.0,322.0,2.0,34.2,60.7
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:15:00,2026-02-01T23:15:00.000Z,5,49.7,49.7,2642.0,472.0,472.0,27.4,27.2,29.3,50.0,70.0,435.0,333.0,2.0,35.7,60.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:10:00,2026-02-01T23:10:00.000Z,5,52.2,52.2,2849.0,492.0,492.0,27.1,26.9,28.7,51.0,71.0,634.0,402.0,2.0,36.3,63.7
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:05:00,2026-02-01T23:05:00.000Z,5,51.5,51.5,2851.0,488.0,488.0,26.9,26.7,28.5,51.0,72.0,642.0,404.0,2.0,36.7,63.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 07:00:00,2026-02-01T23:00:00.000Z,5,52.6,52.6,2834.0,489.0,489.0,26.8,26.5,28.2,52.0,72.0,557.0,381.0,2.0,37.2,63.8
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:55:00,2026-02-01T22:55:00.000Z,5,56.3,56.3,3106.0,477.0,477.0,26.7,26.4,27.6,52.0,72.0,580.0,387.0,2.0,40.3,67.0
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:50:00,2026-02-01T22:50:00.000Z,5,51.9,51.9,2809.0,468.0,468.0,26.6,26.4,27.6,51.0,72.0,352.0,297.0,2.0,36.5,63.6
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:45:00,2026-02-01T22:45:00.000Z,5,52.0,52.0,2903.0,471.0,471.0,26.7,26.4,28.0,51.0,72.0,347.0,294.0,2.0,37.9,64.1
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:40:00,2026-02-01T22:40:00.000Z,5,53.3,53.3,2905.0,476.0,476.0,26.7,26.4,28.0,51.0,72.0,335.0,288.0,2.0,38.2,65.0
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:35:00,2026-02-01T22:35:00.000Z,5,50.4,50.4,2653.0,469.0,469.0,26.7,26.4,27.8,52.0,72.0,373.0,305.0,2.0,35.2,61.5
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:30:00,2026-02-01T22:30:00.000Z,5,46.7,46.7,2261.0,464.0,464.0,26.7,26.4,28.0,52.0,72.0,392.0,317.0,2.0,32.2,55.7
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:25:00,2026-02-01T22:25:00.000Z,5,41.4,41.4,1938.0,458.0,458.0,26.7,26.4,28.0,52.0,72.0,354.0,297.0,2.0,28.9,48.8
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:20:00,2026-02-01T22:20:00.000Z,5,41.5,41.5,1972.0,458.0,458.0,26.8,26.5,28.2,52.0,72.0,300.0,267.0,2.0,28.9,48.8
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:15:00,2026-02-01T22:15:00.000Z,5,41.9,41.9,1984.0,485.0,485.0,26.8,26.5,28.3,52.0,73.0,378.0,309.0,3.0,29.2,49.7
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:10:00,2026-02-01T22:10:00.000Z,5,39.4,39.4,1738.0,473.0,473.0,26.9,26.6,28.4,52.0,72.0,443.0,333.0,3.0,27.1,45.9
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:05:00,2026-02-01T22:05:00.000Z,5,37.6,37.6,1642.0,457.0,457.0,26.9,26.7,28.5,51.0,72.0,343.0,292.0,3.0,26.6,44.4
172238,Valenzuela,,Outdoor,airgradient:d83bda1c1d98,False,2026-02-02 06:00:00,2026-02-01T22:00:00.000Z,5,42.8,42.8,1996.0,477.0,477.0,27.0,26.7,28.4,50.0,71.0,396.0,318.0,3.0,29.1,51.5
